"","config","rpt","mean_test_score","std_test_score","activation","alpha","hidden_layer_sizes","max_iter","solver","train_cpu_duration","train_runtime_duration","train_cpu_meter_result","train_dram_meter_result","test_cpu_duration","test_runtime_duration","test_cpu_meter_result","test_dram_meter_result","test_accuracy_result","act","hls","sol","PF"
"1859",61,28,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2267.17315508053,141.685943126678,12160382872,0,1174.19550736248,73.3822767734528,6352207676,0,0.667312224800395,2,50,1,TRUE
"1860",61,29,0.665535927107849,0.000774900875046869,"relu",1e-04,"(50,)",200,"adam",2274.51140666381,142.145655632019,12161735834,0,1159.85762302019,72.4865837097168,6244084906,0,0.667312224800395,2,50,1,TRUE
"1861",62,0,0.650206912856107,0.000373991641532424,"relu",1e-04,"(50,)",400,"sgd",849.037900861003,53.0601735115051,4558005482,0,852.995541964017,53.3085136413574,4623070196,0,0.649927831472786,2,50,2,TRUE
"1862",62,1,0.650206912856107,0.000373991641532424,"relu",1e-04,"(50,)",400,"sgd",843.937414468965,52.7418146133423,4537054791,0,880.33829031093,55.0182201862335,4800603677,0,0.649927831472786,2,50,2,TRUE
"1863",62,2,0.650206912856107,0.000373991641532424,"relu",1e-04,"(50,)",400,"sgd",821.008751173038,51.3088488578796,4410033937,0,878.962456162088,54.9321699142456,4789903204,0,0.649927831472786,2,50,2,TRUE
"1864",62,3,0.650206912856107,0.000373991641532424,"relu",1e-04,"(50,)",400,"sgd",839.980034908978,52.4943583011627,4514614298,0,859.454039372969,53.7126035690308,4653882556,0,0.649927831472786,2,50,2,TRUE
"1865",62,4,0.650206912856107,0.000373991641532424,"relu",1e-04,"(50,)",400,"sgd",843.916760028107,52.740681886673,4539636388,0,852.225308757974,53.2609922885895,4647852055,0,0.649927831472786,2,50,2,TRUE
"1866",62,5,0.650206912856107,0.000373991641532424,"relu",1e-04,"(50,)",400,"sgd",839.602136490867,52.4710266590118,4512420760,0,865.499407123309,54.0906138420105,4721397093,0,0.649927831472786,2,50,2,TRUE
"1867",62,6,0.650206912856107,0.000373991641532424,"relu",1e-04,"(50,)",400,"sgd",847.517970196903,52.9654850959778,4552654117,0,879.668802209664,54.9757649898529,4794900384,0,0.649927831472786,2,50,2,TRUE
"1868",62,7,0.650206912856107,0.000373991641532424,"relu",1e-04,"(50,)",400,"sgd",840.438741481863,52.522919178009,4521170921,0,886.424655706156,55.3983025550842,4836319589,0,0.649927831472786,2,50,2,TRUE
"1869",62,8,0.650206912856107,0.000373991641532424,"relu",1e-04,"(50,)",400,"sgd",842.585866700858,52.6574323177338,4536487776,0,849.44478294393,53.0868768692017,4642172077,0,0.649927831472786,2,50,2,TRUE
"1870",62,9,0.650206912856107,0.000373991641532424,"relu",1e-04,"(50,)",400,"sgd",843.997615740169,52.7451763153076,4525079053,0,841.116542523261,52.566507101059,4556986502,0,0.649927831472786,2,50,2,TRUE
"1871",62,10,0.650206912856107,0.000373991641532424,"relu",1e-04,"(50,)",400,"sgd",838.828332290053,52.4223186969757,4502922738,0,859.845066403039,53.7368774414062,4686239162,0,0.649927831472786,2,50,2,TRUE
"1872",62,11,0.650206912856107,0.000373991641532424,"relu",1e-04,"(50,)",400,"sgd",833.920811048709,52.1158847808838,4471873805,0,843.295969240367,52.7028408050537,4570042012,0,0.649927831472786,2,50,2,TRUE
